dataset,method,model_seeds,P,W,macro,worst,PLCC,RMSE
AGIQA-3K,qalign_raw,1,0.827706249304405,0.5569606953470729,0.44338709617311217,0.19965269405889902,0.8477124447600981,1.0514794187811827
AGIQA-3K,federated_ridge,1,0.8326925833426813,0.538230035590497,0.48514547264218294,0.16863363034091436,0.8702010718396721,0.5532930235314373
AGIQA-3K,pooled_mlp,3,0.8724492581052509,0.6276760352672925,0.5519360252270897,0.1824881286383738,0.9014142176258281,0.460071999995511
AGIQA-3K,matched_centralized_sgd,3,0.8682983241076047,0.6152346332054205,0.5398906862251854,0.1472810882840175,0.8939728573812297,0.4765339898418047
AGIQA-3K,fedavg,3,0.8540054046782043,0.6351692108785253,0.5717004080417384,0.26813947768738705,0.8652480424393908,0.5743163704955933
AGIQA-3K,fedprox,3,0.8534545894280626,0.6322748308193463,0.570750490529213,0.26493981212313816,0.865861174471613,0.5654112884090368
AGIQA-3K,scaffold,3,0.8545425474968242,0.5908294769804222,0.5237294926773274,0.15044859640540956,0.8847456611447173,0.49957880372274505
AGIQA-3K,client_aware_ridge,1,0.8836855109195222,0.6457079359750525,0.587995839006294,0.29544650624659624,0.9110613924456743,0.43490942302777197
AIGCIQA2023,qalign_raw,1,0.8095895681961911,0.44292545150771945,0.4429258294303589,0.12495484736269453,0.8365690583901462,2.938642378760965
AIGCIQA2023,federated_ridge,1,0.7813525298132801,0.4069982564571818,0.40699781056113,0.21442365136344613,0.809014689356293,0.06099404927820467
AIGCIQA2023,pooled_mlp,3,0.8002557976006216,0.4335458156887353,0.4335458878749603,0.17575252384921736,0.8341921010538501,0.05239371664886425
AIGCIQA2023,matched_centralized_sgd,3,0.8032777689864159,0.4601705570322539,0.46017053660215895,0.24636473094378064,0.8295826851088662,0.053085457053153214
AIGCIQA2023,fedavg,3,0.7821162531764397,0.43628732430573947,0.4362873558736729,0.22774844864314156,0.7867206808715238,0.06521800914402824
AIGCIQA2023,fedprox,3,0.7536970505836212,0.3658416670728535,0.3658410026349918,0.07888411898675957,0.7685854451585173,0.0785693598731775
AIGCIQA2023,scaffold,3,0.7922392743239165,0.4373215646060733,0.43732140308294487,0.2707974437343706,0.8203329630463291,0.05481298147760331
AIGCIQA2023,client_aware_ridge,1,0.8035808406173959,0.4110086389948941,0.41100888110267153,0.04078910808557932,0.8444524272857592,0.050904893420679685
