dataset,method,model_seed,P,W,balanced,macro,worst,PLCC,RMSE
AGIQA-3K,qalign_raw,deterministic,0.827706249304405,0.5569606953470729,0.6923334723257389,0.44338709617311217,0.19965269405889902,0.8477124447600981,1.0514794187811827
AGIQA-3K,federated_ridge,deterministic,0.8326925833426813,0.538230035590497,0.6854613094665891,0.48514547264218294,0.16863363034091436,0.8702010718396721,0.5532930235314373
AGIQA-3K,pooled_mlp,1001,0.8701194055203371,0.6275901615357036,0.7488547835280204,0.5529463258935404,0.18001736511221178,0.8978056086488482,0.46672447925151755
AGIQA-3K,pooled_mlp,1002,0.8735586570325352,0.6262735628951663,0.7499161099638507,0.5481098216076874,0.16641476678379705,0.9035034211282597,0.454838036242989
AGIQA-3K,pooled_mlp,1003,0.8736697117628802,0.6291643813710077,0.751417046566944,0.5547519281800412,0.2010322540191125,0.9029336231003768,0.4586534844920265
AGIQA-3K,matched_centralized_sgd,1001,0.8681562091795635,0.6159841486322847,0.7420701789059241,0.5402911635613339,0.14847091366971807,0.8938361105505152,0.47436095738937184
AGIQA-3K,matched_centralized_sgd,1002,0.8686241386911813,0.6167380171054506,0.7426810778983159,0.5410949053641451,0.15210470471253335,0.8942371666175236,0.4806540962229771
AGIQA-3K,matched_centralized_sgd,1003,0.8681146244520693,0.6129817338785258,0.7405481791652976,0.5382859897500775,0.14126764646980106,0.89384529497565,0.474586915913065
AGIQA-3K,fedavg,1001,0.8544079983411667,0.6357105715458697,0.7450592849435183,0.5705031568890141,0.2666012800040714,0.8661033053065366,0.5607073070037768
AGIQA-3K,fedavg,1002,0.8538614388379907,0.6346515941000995,0.7442565164690451,0.5721867682415063,0.2653471397326573,0.8655611430161024,0.5594243040693985
AGIQA-3K,fedavg,1003,0.8537467768554556,0.6351454669896067,0.7444461219225311,0.5724112989946945,0.27247001332543236,0.8640796789955333,0.6028175004136043
AGIQA-3K,fedprox,1001,0.8534470506762947,0.6344307759331564,0.7439389133047256,0.5752342023385626,0.27026722848974344,0.8660038354670443,0.5754488813241023
AGIQA-3K,fedprox,1002,0.8550102878641325,0.6391997360224603,0.7471050119432964,0.5756720988821126,0.2763610639111018,0.8655424469941148,0.5698212262452208
AGIQA-3K,fedprox,1003,0.8519064297437607,0.623193980502422,0.7375502051230913,0.5613451703669639,0.24819114396856923,0.8660372409536802,0.5509637576577869
AGIQA-3K,scaffold,1001,0.8541030842037998,0.5887985830149167,0.7214508336093582,0.5217034272013998,0.14827796901257745,0.884878463929775,0.5038185076775056
AGIQA-3K,scaffold,1002,0.8550142193637104,0.5941540171605103,0.7245841182621103,0.5272695067894916,0.14951603056256318,0.8855406139195203,0.4960613473131081
AGIQA-3K,scaffold,1003,0.8545103389229627,0.5895358307658397,0.7220230848444011,0.522215544041091,0.1535517896410881,0.8838179055848563,0.49885655617762154
AGIQA-3K,client_aware_ridge,deterministic,0.8836855109195222,0.6457079359750525,0.7646967234472873,0.587995839006294,0.29544650624659624,0.9110613924456743,0.43490942302777197
AIGCIQA2023,qalign_raw,deterministic,0.8095895681961911,0.44292545150771945,0.6262575098519553,0.4429258294303589,0.12495484736269453,0.8365690583901462,2.938642378760965
AIGCIQA2023,federated_ridge,deterministic,0.7813525298132801,0.4069982564571818,0.5941753931352309,0.40699781056113,0.21442365136344613,0.809014689356293,0.06099404927820467
AIGCIQA2023,pooled_mlp,1001,0.8030077908913789,0.438979436371086,0.6209936136312324,0.43897954294234337,0.17999444290080574,0.8352172498516792,0.052302208046345666
AIGCIQA2023,pooled_mlp,1002,0.8012004208623296,0.43151438250181096,0.6163574016820703,0.43151450249785767,0.1534315087524312,0.8377841316368091,0.05186036726442056
AIGCIQA2023,pooled_mlp,1003,0.7965591810481566,0.4301436281933088,0.6133514046207327,0.4301436181846798,0.19383161989441508,0.8295749216730621,0.05301857463582652
AIGCIQA2023,matched_centralized_sgd,1001,0.8034013124716328,0.4612356701773738,0.6323184913245034,0.461235657017458,0.24740205612670182,0.8296780459050721,0.05298624117504751
AIGCIQA2023,matched_centralized_sgd,1002,0.8024241958158256,0.45879054087031595,0.6306073683430707,0.45879052372137746,0.24345651569880516,0.8292227267071498,0.0531273886036089
AIGCIQA2023,matched_centralized_sgd,1003,0.8040077986717892,0.460485460049072,0.6322466293604305,0.4604854290676414,0.2482356210058349,0.8298472827143766,0.05314274138080324
AIGCIQA2023,fedavg,1001,0.7800557090239723,0.4337094417661015,0.6068825753950369,0.4337094963310095,0.2502917477076965,0.7847987425767822,0.0651439322204032
AIGCIQA2023,fedavg,1002,0.7837779602066107,0.43909984046575173,0.6114389003361812,0.4390998719980552,0.20072242289524864,0.7875005285726918,0.06559950731864965
AIGCIQA2023,fedavg,1003,0.7825150902987366,0.4360526906853653,0.6092838904920509,0.43605269929195406,0.23223117532647952,0.7878627714650971,0.06491058789303186
AIGCIQA2023,fedprox,1001,0.7485971309318973,0.35722505609305755,0.5529110935124775,0.35722436322482753,0.057989135725736954,0.7640658120290792,0.08078651850493711
AIGCIQA2023,fedprox,1002,0.7543937295294044,0.3693117748268093,0.5618527521781069,0.3693111396697935,0.09499993054446317,0.7681964867861882,0.0763316507628409
AIGCIQA2023,fedprox,1003,0.7581002912895621,0.3709881702986937,0.564544230794128,0.3709875050103543,0.08366329069007857,0.7734940366602847,0.07858991035175451
AIGCIQA2023,scaffold,1001,0.7905182389857859,0.43508019607460363,0.6127992175301947,0.43508002434317006,0.27563212003334253,0.8193001794061208,0.05471923178252536
AIGCIQA2023,scaffold,1002,0.7931983009898691,0.43917393529323834,0.6161861181415538,0.43917379899048026,0.2699083078632953,0.8209382501137078,0.05504858225368916
AIGCIQA2023,scaffold,1003,0.7930012829960948,0.437710562450378,0.6153559227232364,0.43771038591518424,0.26685190330647396,0.8207604596191588,0.054671130396595394
AIGCIQA2023,client_aware_ridge,deterministic,0.8035808406173959,0.4110086389948941,0.607294739806145,0.41100888110267153,0.04078910808557932,0.8444524272857592,0.050904893420679685
