dataset,method,control,metric,estimate,ci_low,ci_high,valid_resamples,resamples,unit
AGIQA-3K,cc_joint,ridge_matched,P,-0.0030000989562537494,-0.010452615627896808,0.004147823394158502,10000,10000,paired_prompt_cluster_conditional_exploratory
AGIQA-3K,cc_joint,ridge_matched,W,0.019502043163304283,0.007159766043231068,0.033584166711508684,10000,10000,paired_prompt_cluster_conditional_exploratory
AGIQA-3K,cc_joint,cc_alpha10,P,0.0,0.0,0.0,10000,10000,paired_prompt_cluster_conditional_exploratory
AGIQA-3K,cc_joint,cc_alpha10,W,0.0,0.0,0.0,10000,10000,paired_prompt_cluster_conditional_exploratory
AGIQA-3K,cc_joint,sample_joint,P,-0.0027769356915532395,-0.005270001118582062,-0.00031270819686245806,10000,10000,paired_prompt_cluster_conditional_exploratory
AGIQA-3K,cc_joint,sample_joint,W,-0.00959846709534995,-0.018419105395113645,-0.0017383722520933783,10000,10000,paired_prompt_cluster_conditional_exploratory
AGIQA-3K,cc_joint,uncentered_joint,P,-0.0028475405602615966,-0.010257109535718834,0.004315811877973724,10000,10000,paired_prompt_cluster_conditional_exploratory
AGIQA-3K,cc_joint,uncentered_joint,W,0.02002440871951383,0.007719034563964927,0.034134963122172006,10000,10000,paired_prompt_cluster_conditional_exploratory
AGIQA-3K,cc_joint,sample_at_cc,P,-0.0027769356915532395,-0.005270001118582062,-0.00031270819686245806,10000,10000,paired_prompt_cluster_conditional_exploratory
AGIQA-3K,cc_joint,sample_at_cc,W,-0.00959846709534995,-0.018419105395113645,-0.0017383722520933783,10000,10000,paired_prompt_cluster_conditional_exploratory
AGIQA-3K,cc_joint,uncentered_at_cc,P,0.00046351164095803643,-0.007063066261080222,0.007890997346289588,10000,10000,paired_prompt_cluster_conditional_exploratory
AGIQA-3K,cc_joint,uncentered_at_cc,W,0.030177295621113487,0.017524221703743126,0.04547557176329502,10000,10000,paired_prompt_cluster_conditional_exploratory
AGIQA-3K,cc_joint,centered_only_at_cc,P,0.01678336904346378,0.00964783692617848,0.024816168997024168,10000,10000,paired_prompt_cluster_conditional_exploratory
AGIQA-3K,cc_joint,centered_only_at_cc,W,-0.009413264761784834,-0.019003611955302174,0.0003976547289000011,10000,10000,paired_prompt_cluster_conditional_exploratory
AGIQA-3K,cc_joint,ridge_fixed,P,0.029857104784170585,0.015910331841410615,0.04381048653013427,10000,10000,paired_prompt_cluster_conditional_exploratory
AGIQA-3K,cc_joint,ridge_fixed,W,0.09020065961292556,0.055983515652234216,0.12502554153467646,10000,10000,paired_prompt_cluster_conditional_exploratory
AIGCIQA2023,cc_joint,ridge_matched,P,-0.00021913750743562943,-0.008686192970531097,0.008831121238511291,10000,10000,paired_prompt_cluster_conditional_exploratory
AIGCIQA2023,cc_joint,ridge_matched,W,-0.0012873976275797339,-0.014525206315737582,0.01630351116194073,10000,10000,paired_prompt_cluster_conditional_exploratory
AIGCIQA2023,cc_joint,cc_alpha10,P,0.0,0.0,0.0,10000,10000,paired_prompt_cluster_conditional_exploratory
AIGCIQA2023,cc_joint,cc_alpha10,W,0.0,0.0,0.0,10000,10000,paired_prompt_cluster_conditional_exploratory
AIGCIQA2023,cc_joint,sample_joint,P,0.0,0.0,0.0,10000,10000,paired_prompt_cluster_conditional_exploratory
AIGCIQA2023,cc_joint,sample_joint,W,0.0,0.0,0.0,10000,10000,paired_prompt_cluster_conditional_exploratory
