run_id,dataset,split_seed,backbone,regime,heldout,source,method,alpha,lambda,P,W,balanced,macro,worst,PLCC,RMSE,centered_PLCC
agiqa3k__rn50__split42__ridge_fixed__jointsearch63,AGIQA-3K,42,RN50,core,,,ridge_fixed,10.0,0.0,0.8326925833426813,0.538230035590497,0.6854613094665891,0.48514547264218294,0.16863363034091436,0.8702010718396853,0.5532930235314282,0.6330614867701514
agiqa3k__rn50__split42__cc_alpha10__jointsearch63,AGIQA-3K,42,RN50,core,,,cc_alpha10,10.0,10.0,0.8625496881268518,0.6284306952034225,0.7454901916651372,0.5702656195986952,0.23812586435439947,0.8800431278916285,0.5375965767849749,0.7095550740468414
agiqa3k__rn50__split42__ridge_tuned15__jointsearch63,AGIQA-3K,42,RN50,core,,,ridge_tuned15,1.0,0.0,0.8652574780629422,0.6081189854279935,0.7366882317454678,0.5360160532144839,0.15195999621967787,0.8927742850233173,0.47574320444043894,0.6890270118257961
agiqa3k__rn50__split42__cc_joint__jointsearch63,AGIQA-3K,42,RN50,core,,,cc_joint,10.0,10.0,0.8625496881268518,0.6284306952034225,0.7454901916651372,0.5702656195986952,0.23812586435439947,0.8800431278916285,0.5375965767849749,0.7095550740468414
agiqa3k__rn50__split42__ridge_matched__jointsearch63,AGIQA-3K,42,RN50,core,,,ridge_matched,0.970873786407767,0.0,0.8655497870831056,0.6089286520401183,0.737239219561612,0.5367693445893752,0.15213686215539013,0.8929349328933924,0.475397913432318,0.6894336997675901
agiqa3k__rn50__split42__sample_joint__jointsearch63,AGIQA-3K,42,RN50,core,,,sample_joint,10.0,10.0,0.8653266238184051,0.6380291622987725,0.7516778930585888,0.5749207768524693,0.2489146864328466,0.8802987416165645,0.5333587173406809,0.7151188764506619
agiqa3k__rn50__split42__uncentered_joint__jointsearch63,AGIQA-3K,42,RN50,core,,,uncentered_joint,1.0,0.03,0.8653972286871134,0.6084062864839087,0.736901757585511,0.5360430635699616,0.15059330489826506,0.8929208217527115,0.4754412150342494,0.6892833363534717
agiqa3k__rn50__split42__sample_at_cc__jointsearch63,AGIQA-3K,42,RN50,core,,,sample_at_cc,10.0,10.0,0.8653266238184051,0.6380291622987725,0.7516778930585888,0.5749207768524693,0.2489146864328466,0.8802987416165645,0.5333587173406809,0.7151188764506619
agiqa3k__rn50__split42__uncentered_at_cc__jointsearch63,AGIQA-3K,42,RN50,core,,,uncentered_at_cc,10.0,10.0,0.8620861764858938,0.598253399582309,0.7301697880341014,0.5308402921149881,0.14245747185550164,0.8922623817007601,0.47727105089665706,0.684385742706962
agiqa3k__rn50__split42__centered_only_at_cc__jointsearch63,AGIQA-3K,42,RN50,core,,,centered_only_at_cc,10.0,10.0,0.8457663190833881,0.6378439599652074,0.7418051395242977,0.5849965336966488,0.2849953373181452,0.8519961515146051,0.6227974146778369,0.7150985115613415
agiqa3k__rn50__split43__ridge_fixed__jointsearch63,AGIQA-3K,43,RN50,core,,,ridge_fixed,10.0,0.0,0.8470820815863425,0.550392515057548,0.6987372983219453,0.5349364802412417,0.31589405049161257,0.8917644209702881,0.5214159505642746,0.6768875388207097
agiqa3k__rn50__split43__cc_alpha10__jointsearch63,AGIQA-3K,43,RN50,core,,,cc_alpha10,10.0,10.0,0.8648473149876734,0.6125899091743805,0.738718612081027,0.5803819875699472,0.4196994912346221,0.8926248451590147,0.5247499757715999,0.7283545753989755
agiqa3k__rn50__split43__ridge_tuned15__jointsearch63,AGIQA-3K,43,RN50,core,,,ridge_tuned15,1.0,0.0,0.8670275423487945,0.5933634154334502,0.7301954788911224,0.5526349767140312,0.38595052628417686,0.9051784609925045,0.4519430361940127,0.7094747566623293
agiqa3k__rn50__split43__cc_joint__jointsearch63,AGIQA-3K,43,RN50,core,,,cc_joint,100.0,100.0,0.8529111343049999,0.6222820660843036,0.7375966001946517,0.5932440254277691,0.432176478753224,0.8703105265903003,0.6042369032588755,0.7331716349403615
agiqa3k__rn50__split43__ridge_matched__jointsearch63,AGIQA-3K,43,RN50,core,,,ridge_matched,0.7692307692307692,0.0,0.8674293044566814,0.5930214719291327,0.730225388192907,0.549571406280604,0.3736986390558589,0.9054485053630494,0.4511439492750427,0.7098901442789366
agiqa3k__rn50__split43__sample_joint__jointsearch63,AGIQA-3K,43,RN50,core,,,sample_joint,10.0,10.0,0.8665715492767675,0.6184743435453832,0.7425229464110754,0.5819705306791801,0.42862310988516855,0.8933984444380273,0.5185371075987674,0.7334201395153626
agiqa3k__rn50__split43__uncentered_joint__jointsearch63,AGIQA-3K,43,RN50,core,,,uncentered_joint,1.0,0.1,0.8669796865637336,0.5918741450062212,0.7294269157849773,0.5510577454328551,0.3829920653261578,0.9051918591336012,0.45184550876048657,0.7091861908882551
agiqa3k__rn50__split43__sample_at_cc__jointsearch63,AGIQA-3K,43,RN50,core,,,sample_at_cc,100.0,100.0,0.8541110520568046,0.6274074610281399,0.7407592565424723,0.591476317527436,0.43918674493635607,0.8705288374354727,0.5948608627931726,0.7382424580322843
agiqa3k__rn50__split43__uncentered_at_cc__jointsearch63,AGIQA-3K,43,RN50,core,,,uncentered_at_cc,100.0,100.0,0.8636183733942716,0.5832441422782074,0.7234312578362395,0.5461452262005869,0.371077828533266,0.90346738008793,0.45627617282269833,0.702673468636954
agiqa3k__rn50__split43__centered_only_at_cc__jointsearch63,AGIQA-3K,43,RN50,core,,,centered_only_at_cc,100.0,100.0,0.8491948243215538,0.6234005845801115,0.7362977044508326,0.5959342559278561,0.4401353818739817,0.863990176730209,0.6202485796897085,0.7333432710932418
agiqa3k__rn50__split44__ridge_fixed__jointsearch63,AGIQA-3K,44,RN50,core,,,ridge_fixed,10.0,0.0,0.8521901337022605,0.5559868183315281,0.7040884760168943,0.4835765058172732,0.3238845566782504,0.8971115359648528,0.5220026541667302,0.6854607109801218
agiqa3k__rn50__split44__cc_alpha10__jointsearch63,AGIQA-3K,44,RN50,core,,,cc_alpha10,10.0,10.0,0.8765057890235372,0.63781270499305,0.7571592470082935,0.5709011995671676,0.3764932872904046,0.9022586918984681,0.5235991523845965,0.7451179339888954
agiqa3k__rn50__split44__ridge_tuned15__jointsearch63,AGIQA-3K,44,RN50,core,,,ridge_tuned15,0.9090909090909091,0.0,0.8751405202936838,0.6227441567094391,0.7489423385015614,0.5404322617627729,0.3415602793032078,0.9124726442607831,0.44121385721572004,0.7288718902637041
agiqa3k__rn50__split44__cc_joint__jointsearch63,AGIQA-3K,44,RN50,core,,,cc_joint,10.0,10.0,0.8765057890235372,0.63781270499305,0.7571592470082935,0.5709011995671676,0.3764932872904046,0.9022586918984681,0.5235991523845965,0.7451179339888954
agiqa3k__rn50__split44__ridge_matched__jointsearch63,AGIQA-3K,44,RN50,core,,,ridge_matched,0.75,0.0,0.8752572750318579,0.6232211893063201,0.749239232169089,0.540297600080733,0.33477505886042885,0.9127050236997574,0.44039795467910464,0.7296619764284109
agiqa3k__rn50__split44__sample_joint__jointsearch63,AGIQA-3K,44,RN50,core,,,sample_joint,10.0,10.0,0.8798209062130387,0.6509494488148501,0.7653851775139444,0.5780199638956381,0.38642977736323814,0.9030485119687103,0.5155010391762687,0.750786881069242
