dataset,backbone,split_seed,P,W
AGIQA-3K,RN50,42,-0.00022316326470050996,0.029100510258654233
AGIQA-3K,RN50,43,-0.0008577551799139327,0.02545287161625054
AGIQA-3K,RN50,44,0.0045636311811807495,0.027728259508529973
AGIQA-3K,RN50,45,-0.0034170449360961808,0.031200186343145697
AGIQA-3K,RN50,46,-3.940580846073516e-07,0.00010468186214029895
AGIQA-3K,ViT-B-32,42,-0.008339561754132085,0.03458891018219201
AGIQA-3K,ViT-B-32,43,0.00041094739879699027,0.023807033650414477
AGIQA-3K,ViT-B-32,44,-0.006854796823292264,0.010873502319972528
AGIQA-3K,ViT-B-32,45,-0.01295077504045039,0.01589014641711639
AGIQA-3K,ViT-B-32,46,-6.194315609775458e-05,0.00027803442688323354
AGIQA-3K-full,RN50,42,0.002522368888028148,0.008870943066819459
AGIQA-3K-full,RN50,43,0.001523275632542953,0.008995027491512042
AGIQA-3K-full,RN50,44,-0.0052431405093892325,0.017373821567944536
AGIQA-3K-full,RN50,45,-0.004306833519651443,0.02365400056012834
AGIQA-3K-full,RN50,46,0.0010435370666777022,0.007416156605993152
AIGCIQA2023,RN50,42,-0.00021913750743562943,-0.0012873976275797339
AIGCIQA2023,RN50,43,0.002549916794625462,0.011475409836065598
AIGCIQA2023,RN50,44,8.410558723448425e-05,9.26183199037034e-05
AIGCIQA2023,RN50,45,-0.004881210503167477,0.0011114198388441077
AIGCIQA2023,RN50,46,0.013424743503679282,0.035565434843011945
AIGCIQA2023,ViT-B-32,42,0.0030831001192846985,0.02093178876496471
AIGCIQA2023,ViT-B-32,43,0.011315159324788993,0.046392516439751785
AIGCIQA2023,ViT-B-32,44,-0.0007865287026391776,0.0009724923589886081
AIGCIQA2023,ViT-B-32,45,-0.000954997080738762,0.00192646105399652
AIGCIQA2023,ViT-B-32,46,-0.0011422413238785234,0.005260720570528787
