dataset,backbone,split_seed,method,alpha,lambda,P,W,balanced,macro,worst,PLCC,RMSE
AGIQA-3K,RN50,42,gc,10.0,10.0,0.8653266238184051,0.6380291622987725,0.7516778930585888,0.5749207768524693,0.2489146864328466,0.8802987416165647,0.5333587173406809
AGIQA-3K,RN50,42,pooled_only,10.0,10.0,0.8326925833426813,0.538230035590497,0.6854613094665891,0.48514547264218294,0.16863363034091436,0.870201071839685,0.5532930235314282
AGIQA-3K,RN50,42,uncentered,10.0,10.0,0.8657282447392037,0.6089037209567537,0.7373159828479787,0.5367484614392343,0.15004662836969992,0.8932779061163044,0.47466908223211535
AGIQA-3K,RN50,42,equal_generator,10.0,10.0,0.8625496881268518,0.6284306952034225,0.7454901916651372,0.5702656195986952,0.23812586435439947,0.8800431278916282,0.5375965767849751
AGIQA-3K,RN50,42,within_only,10.0,10.0,0.8490109411010182,0.6465852726705953,0.7477981068858067,0.5893083605681331,0.3004148311679676,0.8522146968430903,0.6144391811979334
AGIQA-3K,RN50,43,gc,10.0,10.0,0.8665715492767675,0.6184743435453832,0.7425229464110754,0.5819705306791801,0.42862310988516855,0.8933984444380276,0.5185371075987674
AGIQA-3K,RN50,43,pooled_only,10.0,10.0,0.8470820815863425,0.550392515057548,0.6987372983219453,0.5349364802412417,0.31589405049161257,0.891764420970288,0.5214159505642746
AGIQA-3K,RN50,43,uncentered,10.0,10.0,0.8671037928459381,0.5920031566580333,0.7295534747519856,0.5508627774950351,0.3798567398543442,0.9053086574926625,0.4515556770780405
AGIQA-3K,RN50,43,equal_generator,10.0,10.0,0.8648473149876734,0.6125899091743805,0.738718612081027,0.5803819875699472,0.4196994912346221,0.8926248451590145,0.5247499757715997
AGIQA-3K,RN50,43,within_only,10.0,10.0,0.8502781853453266,0.6281051259801723,0.7391916556627495,0.592724687690819,0.4380290863006095,0.8641848651120742,0.6102617460640148
AGIQA-3K,RN50,44,gc,10.0,10.0,0.8798209062130387,0.6509494488148501,0.7653851775139444,0.5780199638956381,0.38642977736323814,0.9030485119687105,0.5155010391762688
AGIQA-3K,RN50,44,pooled_only,10.0,10.0,0.8521901337022605,0.5559868183315281,0.7040884760168943,0.4835765058172732,0.3238845566782504,0.8971115359648526,0.5220026541667299
AGIQA-3K,RN50,44,uncentered,10.0,10.0,0.8751405202936838,0.6227441567094391,0.7489423385015614,0.5404322617627729,0.3415602793032078,0.9124726442607838,0.4412138572157194
AGIQA-3K,RN50,44,equal_generator,10.0,10.0,0.8765057890235372,0.63781270499305,0.7571592470082935,0.5709011995671676,0.3764932872904046,0.9022586918984681,0.5235991523845973
AGIQA-3K,RN50,44,within_only,10.0,10.0,0.8664778184652996,0.654274472548445,0.7603761455068723,0.5873112630137288,0.36691052340139363,0.8765311736914333,0.6130085742250194
AGIQA-3K,RN50,45,gc,10.0,10.0,0.8922743420168653,0.7156906878568148,0.80398251493684,0.6414614031736642,0.4126159747058774,0.9014731116199998,0.5084329731132279
AGIQA-3K,RN50,45,pooled_only,10.0,10.0,0.8656838699044006,0.6104553523199895,0.738069611112195,0.5467888833433089,0.35119229584003225,0.8937918865724624,0.5230771387135361
AGIQA-3K,RN50,45,uncentered,10.0,10.0,0.8944104590400368,0.6803531619289676,0.7873818104845022,0.6006373521107035,0.3478959989375458,0.912912450166548,0.4356214447254334
AGIQA-3K,RN50,45,equal_generator,10.0,10.0,0.8907995818035346,0.7072427301251388,0.7990211559643368,0.6378445721963152,0.40843530546369944,0.901694516344303,0.5148787275380908
AGIQA-3K,RN50,45,within_only,10.0,10.0,0.8704364727692415,0.7214904971259305,0.7959634849475861,0.6492954748487518,0.43121995283356923,0.8692900886580397,0.6072615662547058
AGIQA-3K,RN50,46,gc,1.0,0.03,0.884152133429503,0.6871417963157176,0.7856469648726103,0.6318862291592053,0.47028178713374585,0.9080645664186392,0.4589942763467911
AGIQA-3K,RN50,46,pooled_only,1.0,0.03,0.8841144324332533,0.6872247832635626,0.785669607848408,0.6322154767795863,0.4718093025118129,0.908004712531477,0.45907313961700125
AGIQA-3K,RN50,46,uncentered,1.0,0.03,0.8841524632568202,0.687036309207503,0.7855943862321616,0.6315432285930819,0.47098926794042956,0.9081064934701868,0.45874418135077416
AGIQA-3K,RN50,46,equal_generator,1.0,0.03,0.8840417237351194,0.6868498668767051,0.7854457953059122,0.6313335809413406,0.47098926794042956,0.9080285749561058,0.45909193336916615
AGIQA-3K,RN50,46,within_only,1.0,0.03,0.7862262380825886,0.6342596370545934,0.710242937568591,0.5974729580151569,0.3766209757943698,0.7918559727892274,0.9387538121240045
