dataset,control,metric,effect,lo,hi,resamples
AGIQA-3K,ridge_matched,P,-0.00022316326470050996,-0.007898815970971937,0.0070451155638397685,10000
AGIQA-3K,ridge_matched,W,0.029100510258654233,0.016149288724654376,0.04480990904195377,10000
AGIQA-3K,ridge_tuned15,P,6.914575546290713e-05,-0.007567996721364312,0.007326955603420204,10000
AGIQA-3K,ridge_tuned15,W,0.029910176870779015,0.016726773221306605,0.045736018393564795,10000
AGIQA-3K,cc_joint,P,0.0027769356915532395,0.00031270819686245735,0.005270001118582062,10000
AGIQA-3K,cc_joint,W,0.00959846709534995,0.0017383722520933709,0.018419105395113645,10000
AGIQA-3K,uncentered_joint,P,-7.060486870835714e-05,-0.007745438518465214,0.00719765645940581,10000
AGIQA-3K,uncentered_joint,W,0.02962287581486378,0.01651041211690738,0.04538644825355787,10000
AGIQA-3K-full,ridge_matched,P,0.002522368888028148,-4.8068816647600504e-05,0.0050197750825133804,10000
AGIQA-3K-full,ridge_matched,W,0.008870943066819459,0.000622534087505483,0.01763473247924338,10000
AGIQA-3K-full,ridge_tuned15,P,0.001058666461515978,-0.0009070134721132689,0.002999374166236565,10000
AGIQA-3K-full,ridge_tuned15,W,0.004897927724223039,-0.0009721656911415938,0.0103872844715313,10000
AGIQA-3K-full,cc_joint,P,0.004173246657230956,0.0005562871331243807,0.007666362308784273,10000
AGIQA-3K-full,cc_joint,W,0.013057399728252816,0.001885159306810172,0.025363450978316576,10000
AGIQA-3K-full,uncentered_joint,P,0.004173246657230956,0.0005562871331243807,0.007666362308784273,10000
AGIQA-3K-full,uncentered_joint,W,0.013057399728252816,0.001885159306810172,0.025363450978316576,10000
AIGCIQA2023,ridge_matched,P,-0.00021913750743562943,-0.008686192970531097,0.008831121238511291,10000
AIGCIQA2023,ridge_matched,W,-0.0012873976275797339,-0.014525206315737582,0.01630351116194073,10000
AIGCIQA2023,ridge_tuned15,P,-0.001653562248008722,-0.010304521992494004,0.00813006674955154,10000
AIGCIQA2023,ridge_tuned15,W,-0.004566093743861799,-0.01853734161628739,0.013290751833023105,10000
AIGCIQA2023,cc_joint,P,0.0,0.0,0.0,10000
AIGCIQA2023,cc_joint,W,0.0,0.0,0.0,10000
AIGCIQA2023,uncentered_joint,P,-0.00021913750743562943,-0.008686192970531097,0.008831121238511291,10000
AIGCIQA2023,uncentered_joint,W,-0.0012873976275797339,-0.014525206315737582,0.01630351116194073,10000
