run_id,dataset,split_seed,backbone,regime,heldout,source,method,alpha,lambda,P,W,balanced,macro,worst,PLCC,RMSE,centered_PLCC
agiqa3k__rn50__split42__ridge_fixed__jointsearch63,AGIQA-3K,42,RN50,core,,,ridge_fixed,10.0,0.0,0.8326925833426813,0.538230035590497,0.6854613094665891,0.48514547264218294,0.16863363034091436,0.8702010718396853,0.5532930235314282,0.6330614867701514
agiqa3k__rn50__split42__cc_alpha10__jointsearch63,AGIQA-3K,42,RN50,core,,,cc_alpha10,10.0,10.0,0.8625496881268518,0.6284306952034225,0.7454901916651372,0.5702656195986952,0.23812586435439947,0.8800431278916285,0.5375965767849749,0.7095550740468414
agiqa3k__rn50__split42__ridge_tuned15__jointsearch63,AGIQA-3K,42,RN50,core,,,ridge_tuned15,1.0,0.0,0.8652574780629422,0.6081189854279935,0.7366882317454678,0.5360160532144839,0.15195999621967787,0.8927742850233173,0.47574320444043894,0.6890270118257961
agiqa3k__rn50__split42__cc_joint__jointsearch63,AGIQA-3K,42,RN50,core,,,cc_joint,10.0,10.0,0.8625496881268518,0.6284306952034225,0.7454901916651372,0.5702656195986952,0.23812586435439947,0.8800431278916285,0.5375965767849749,0.7095550740468414
agiqa3k__rn50__split42__ridge_matched__jointsearch63,AGIQA-3K,42,RN50,core,,,ridge_matched,0.970873786407767,0.0,0.8655497870831056,0.6089286520401183,0.737239219561612,0.5367693445893752,0.15213686215539013,0.8929349328933924,0.475397913432318,0.6894336997675901
agiqa3k__rn50__split42__sample_joint__jointsearch63,AGIQA-3K,42,RN50,core,,,sample_joint,10.0,10.0,0.8653266238184051,0.6380291622987725,0.7516778930585888,0.5749207768524693,0.2489146864328466,0.8802987416165645,0.5333587173406809,0.7151188764506619
agiqa3k__rn50__split42__uncentered_joint__jointsearch63,AGIQA-3K,42,RN50,core,,,uncentered_joint,1.0,0.03,0.8653972286871134,0.6084062864839087,0.736901757585511,0.5360430635699616,0.15059330489826506,0.8929208217527115,0.4754412150342494,0.6892833363534717
agiqa3k__rn50__split42__sample_at_cc__jointsearch63,AGIQA-3K,42,RN50,core,,,sample_at_cc,10.0,10.0,0.8653266238184051,0.6380291622987725,0.7516778930585888,0.5749207768524693,0.2489146864328466,0.8802987416165645,0.5333587173406809,0.7151188764506619
agiqa3k__rn50__split42__uncentered_at_cc__jointsearch63,AGIQA-3K,42,RN50,core,,,uncentered_at_cc,10.0,10.0,0.8620861764858938,0.598253399582309,0.7301697880341014,0.5308402921149881,0.14245747185550164,0.8922623817007601,0.47727105089665706,0.684385742706962
agiqa3k__rn50__split42__centered_only_at_cc__jointsearch63,AGIQA-3K,42,RN50,core,,,centered_only_at_cc,10.0,10.0,0.8457663190833881,0.6378439599652074,0.7418051395242977,0.5849965336966488,0.2849953373181452,0.8519961515146051,0.6227974146778369,0.7150985115613415
agiqa3k_full__rn50__split42__ridge_fixed__jointsearch63,AGIQA-3K-full,42,RN50,core,,,ridge_fixed,10.0,0.0,0.8032027878130326,0.5128010266519704,0.6580019072325014,0.5237973488241554,0.18984146390495574,0.862330772882271,0.5252201522943716,0.6825858387473226
agiqa3k_full__rn50__split42__cc_alpha10__jointsearch63,AGIQA-3K-full,42,RN50,core,,,cc_alpha10,10.0,1.0,0.816994354006905,0.542477416369227,0.6797358851880659,0.5534853182846792,0.22635624026882076,0.8684433894171406,0.5156813780136073,0.7068473081337053
agiqa3k_full__rn50__split42__ridge_tuned15__jointsearch63,AGIQA-3K-full,42,RN50,core,,,ridge_tuned15,0.3225806451612903,0.0,0.8460862360435868,0.6093292278539482,0.7277077319487675,0.5629663807830537,0.16152683546956767,0.887308379957779,0.4559163303174177,0.7328575564336415
agiqa3k_full__rn50__split42__cc_joint__jointsearch63,AGIQA-3K-full,42,RN50,core,,,cc_joint,1.0,0.0,0.8429716558478718,0.6011697558499184,0.7220707058488951,0.5654924451322684,0.17967971196221566,0.8855525912556239,0.4581720993635155,0.7296874431423332
agiqa3k_full__rn50__split42__ridge_matched__jointsearch63,AGIQA-3K-full,42,RN50,core,,,ridge_matched,0.75,0.0,0.8446225336170746,0.6053562125113517,0.7249893730642132,0.5646663278060972,0.17458275726941724,0.8866426961049589,0.4561417628856991,0.7318602675694328
agiqa3k_full__rn50__split42__sample_joint__jointsearch63,AGIQA-3K-full,42,RN50,core,,,sample_joint,1.0,1.0,0.8471449025051028,0.6142271555781712,0.730686029041637,0.5723785732481282,0.18517863469072374,0.8865635263268048,0.45642498714418905,0.7392236338807283
agiqa3k_full__rn50__split42__uncentered_joint__jointsearch63,AGIQA-3K-full,42,RN50,core,,,uncentered_joint,1.0,0.0,0.8429716558478718,0.6011697558499184,0.7220707058488951,0.5654924451322684,0.17967971196221566,0.8855525912556239,0.4581720993635155,0.7296874431423332
agiqa3k_full__rn50__split42__sample_at_cc__jointsearch63,AGIQA-3K-full,42,RN50,core,,,sample_at_cc,1.0,0.0,0.8429716558478718,0.6011697558499184,0.7220707058488951,0.5654924451322684,0.17967971196221566,0.8855525912556239,0.4581720993635155,0.7296874431423332
agiqa3k_full__rn50__split42__uncentered_at_cc__jointsearch63,AGIQA-3K-full,42,RN50,core,,,uncentered_at_cc,1.0,0.0,0.8429716558478718,0.6011697558499184,0.7220707058488951,0.5654924451322684,0.17967971196221566,0.8855525912556239,0.4581720993635155,0.7296874431423332
agiqa3k_full__rn50__split42__centered_only_at_cc__jointsearch63,AGIQA-3K-full,42,RN50,core,,,centered_only_at_cc,1.0,0.0,,,,,,,0.9856831549401679,
aigciqa2023__rn50__split42__ridge_fixed__jointsearch63,AIGCIQA2023,42,RN50,core,,,ridge_fixed,10.0,0.0,0.7813525298132801,0.4069982564571818,0.5941753931352309,0.40699781056113,0.21442365136344613,0.8090146893564603,0.06099404927819951,0.5732978038501626
aigciqa2023__rn50__split42__cc_alpha10__jointsearch63,AIGCIQA2023,42,RN50,core,,,cc_alpha10,10.0,3.0,0.7987785913200601,0.4474910796786093,0.6231348354993347,0.447491038123862,0.23206446235065292,0.8229534772520792,0.0592042398481748,0.6401734854813553
aigciqa2023__rn50__split42__ridge_tuned15__jointsearch63,AIGCIQA2023,42,RN50,core,,,ridge_tuned15,2.5,0.0,0.8004321535680688,0.4520571734224711,0.62624466349527,0.4520570639060726,0.2557932759099749,0.828667079190083,0.054227187381935514,0.6222676367665471
aigciqa2023__rn50__split42__cc_joint__jointsearch63,AIGCIQA2023,42,RN50,core,,,cc_joint,10.0,3.0,0.7987785913200601,0.4474910796786093,0.6231348354993347,0.447491038123862,0.23206446235065292,0.8229534772520792,0.0592042398481748,0.6401734854813553
aigciqa2023__rn50__split42__ridge_matched__jointsearch63,AIGCIQA2023,42,RN50,core,,,ridge_matched,2.727272727272727,0.0,0.7989977288274958,0.448778477306189,0.6238881030668424,0.4487783524773361,0.2609058071686579,0.8279719835707234,0.05445923049231543,0.6202251640216733
aigciqa2023__rn50__split42__sample_joint__jointsearch63,AIGCIQA2023,42,RN50,core,,,sample_joint,10.0,3.0,0.7987785913200601,0.4474910796786093,0.6231348354993347,0.447491038123862,0.23206446235065292,0.8229534772520792,0.059204239848174786,0.6401734854813553
