key,dataset,seed,backbone,regime,family,delta,alpha,lambda,P,W,balanced,macro,worst,PLCC,RMSE,centered_PLCC,heldout
agiqa3k__rn50__split42,AGIQA-3K,42,RN50,core,cc_joint,0.0,10.0,10.0,0.8625496881268518,0.6284306952034225,0.7454901916651372,0.5702656195986952,0.23812586435439947,0.8800431278916285,0.5375965767849749,0.7095550740468414,
agiqa3k__rn50__split42,AGIQA-3K,42,RN50,core,ridge_matched,0.0,0.970873786407767,0.0,0.8655497870831056,0.6089286520401183,0.737239219561612,0.5367693445893752,0.15213686215539013,0.8929349328933924,0.475397913432318,0.6894336997675901,
agiqa3k__rn50__split42,AGIQA-3K,42,RN50,core,sample_joint,0.0,10.0,10.0,0.8653266238184051,0.6380291622987725,0.7516778930585888,0.5749207768524693,0.2489146864328466,0.8802987416165645,0.5333587173406809,0.7151188764506619,
agiqa3k__rn50__split42,AGIQA-3K,42,RN50,core,uncentered_joint,0.0,1.0,0.03,0.8653972286871134,0.6084062864839087,0.736901757585511,0.5360430635699616,0.15059330489826506,0.8929208217527115,0.4754412150342494,0.6892833363534717,
agiqa3k__rn50__split42,AGIQA-3K,42,RN50,core,cc_joint,0.005,10.0,10.0,0.8625496881268518,0.6284306952034225,0.7454901916651372,0.5702656195986952,0.23812586435439947,0.8800431278916285,0.5375965767849749,0.7095550740468414,
agiqa3k__rn50__split42,AGIQA-3K,42,RN50,core,ridge_matched,0.005,0.970873786407767,0.0,0.8655497870831056,0.6089286520401183,0.737239219561612,0.5367693445893752,0.15213686215539013,0.8929349328933924,0.475397913432318,0.6894336997675901,
agiqa3k__rn50__split42,AGIQA-3K,42,RN50,core,sample_joint,0.005,10.0,10.0,0.8653266238184051,0.6380291622987725,0.7516778930585888,0.5749207768524693,0.2489146864328466,0.8802987416165645,0.5333587173406809,0.7151188764506619,
agiqa3k__rn50__split42,AGIQA-3K,42,RN50,core,uncentered_joint,0.005,1.0,0.03,0.8653972286871134,0.6084062864839087,0.736901757585511,0.5360430635699616,0.15059330489826506,0.8929208217527115,0.4754412150342494,0.6892833363534717,
agiqa3k__rn50__split42,AGIQA-3K,42,RN50,core,cc_joint,0.01,10.0,10.0,0.8625496881268518,0.6284306952034225,0.7454901916651372,0.5702656195986952,0.23812586435439947,0.8800431278916285,0.5375965767849749,0.7095550740468414,
agiqa3k__rn50__split42,AGIQA-3K,42,RN50,core,ridge_matched,0.01,0.970873786407767,0.0,0.8655497870831056,0.6089286520401183,0.737239219561612,0.5367693445893752,0.15213686215539013,0.8929349328933924,0.475397913432318,0.6894336997675901,
agiqa3k__rn50__split42,AGIQA-3K,42,RN50,core,sample_joint,0.01,10.0,10.0,0.8653266238184051,0.6380291622987725,0.7516778930585888,0.5749207768524693,0.2489146864328466,0.8802987416165645,0.5333587173406809,0.7151188764506619,
agiqa3k__rn50__split42,AGIQA-3K,42,RN50,core,uncentered_joint,0.01,1.0,0.03,0.8653972286871134,0.6084062864839087,0.736901757585511,0.5360430635699616,0.15059330489826506,0.8929208217527115,0.4754412150342494,0.6892833363534717,
agiqa3k__rn50__split42,AGIQA-3K,42,RN50,core,cc_joint,0.02,10.0,10.0,0.8625496881268518,0.6284306952034225,0.7454901916651372,0.5702656195986952,0.23812586435439947,0.8800431278916285,0.5375965767849749,0.7095550740468414,
agiqa3k__rn50__split42,AGIQA-3K,42,RN50,core,ridge_matched,0.02,0.970873786407767,0.0,0.8655497870831056,0.6089286520401183,0.737239219561612,0.5367693445893752,0.15213686215539013,0.8929349328933924,0.475397913432318,0.6894336997675901,
agiqa3k__rn50__split42,AGIQA-3K,42,RN50,core,sample_joint,0.02,10.0,10.0,0.8653266238184051,0.6380291622987725,0.7516778930585888,0.5749207768524693,0.2489146864328466,0.8802987416165645,0.5333587173406809,0.7151188764506619,
agiqa3k__rn50__split42,AGIQA-3K,42,RN50,core,uncentered_joint,0.02,1.0,0.03,0.8653972286871134,0.6084062864839087,0.736901757585511,0.5360430635699616,0.15059330489826506,0.8929208217527115,0.4754412150342494,0.6892833363534717,
agiqa3k__rn50__split42,AGIQA-3K,42,RN50,core,cc_joint,0.05,10.0,10.0,0.8625496881268518,0.6284306952034225,0.7454901916651372,0.5702656195986952,0.23812586435439947,0.8800431278916285,0.5375965767849749,0.7095550740468414,
agiqa3k__rn50__split42,AGIQA-3K,42,RN50,core,ridge_matched,0.05,0.970873786407767,0.0,0.8655497870831056,0.6089286520401183,0.737239219561612,0.5367693445893752,0.15213686215539013,0.8929349328933924,0.475397913432318,0.6894336997675901,
agiqa3k__rn50__split42,AGIQA-3K,42,RN50,core,sample_joint,0.05,10.0,10.0,0.8653266238184051,0.6380291622987725,0.7516778930585888,0.5749207768524693,0.2489146864328466,0.8802987416165645,0.5333587173406809,0.7151188764506619,
agiqa3k__rn50__split42,AGIQA-3K,42,RN50,core,uncentered_joint,0.05,1.0,0.03,0.8653972286871134,0.6084062864839087,0.736901757585511,0.5360430635699616,0.15059330489826506,0.8929208217527115,0.4754412150342494,0.6892833363534717,
agiqa3k__rn50__split42__logo_AttnGAN,AGIQA-3K,42,RN50,logo,cc_joint,0.0,1.0,0.3,0.39379912426815683,0.39379912426815683,0.39379912426815683,0.39379912426815683,0.39379912426815683,0.44562073781148764,0.8302394883366003,0.4456207378114878,AttnGAN
agiqa3k__rn50__split42__logo_AttnGAN,AGIQA-3K,42,RN50,logo,ridge_matched,0.0,0.9900990099009901,0.0,0.4021626797013486,0.4021626797013486,0.4021626797013486,0.4021626797013486,0.4021626797013486,0.451011818888013,0.8228327660738726,0.451011818888013,AttnGAN
agiqa3k__rn50__split42__logo_AttnGAN,AGIQA-3K,42,RN50,logo,sample_joint,0.0,3.0,3.0,0.39590006894904944,0.39590006894904944,0.39590006894904944,0.39590006894904944,0.39590006894904944,0.44921511590994084,0.8544017004394663,0.44921511590994084,AttnGAN
agiqa3k__rn50__split42__logo_AttnGAN,AGIQA-3K,42,RN50,logo,uncentered_joint,0.0,1.0,0.3,0.39332822287416364,0.39332822287416364,0.39332822287416364,0.39332822287416364,0.39332822287416364,0.4448639497962266,0.8235833137590312,0.44486394979622657,AttnGAN
agiqa3k__rn50__split42__logo_AttnGAN,AGIQA-3K,42,RN50,logo,cc_joint,0.005,1.0,0.3,0.39379912426815683,0.39379912426815683,0.39379912426815683,0.39379912426815683,0.39379912426815683,0.44562073781148764,0.8302394883366003,0.4456207378114878,AttnGAN
agiqa3k__rn50__split42__logo_AttnGAN,AGIQA-3K,42,RN50,logo,ridge_matched,0.005,0.9900990099009901,0.0,0.4021626797013486,0.4021626797013486,0.4021626797013486,0.4021626797013486,0.4021626797013486,0.451011818888013,0.8228327660738726,0.451011818888013,AttnGAN
agiqa3k__rn50__split42__logo_AttnGAN,AGIQA-3K,42,RN50,logo,sample_joint,0.005,3.0,3.0,0.39590006894904944,0.39590006894904944,0.39590006894904944,0.39590006894904944,0.39590006894904944,0.44921511590994084,0.8544017004394663,0.44921511590994084,AttnGAN
agiqa3k__rn50__split42__logo_AttnGAN,AGIQA-3K,42,RN50,logo,uncentered_joint,0.005,1.0,0.3,0.39332822287416364,0.39332822287416364,0.39332822287416364,0.39332822287416364,0.39332822287416364,0.4448639497962266,0.8235833137590312,0.44486394979622657,AttnGAN
