dataset,sample_id,prompt_id,client_id,split,official_filename
AGIQA-3K-full,AttnGAN_normal_000,AGIQA-6450500ef537,AttnGAN,train,AttnGAN_normal_000.jpg
AGIQA-3K-full,AttnGAN_normal_001,AGIQA-7a6a19473264,AttnGAN,train,AttnGAN_normal_001.jpg
AGIQA-3K-full,AttnGAN_normal_002,AGIQA-e7cac214d6e9,AttnGAN,train,AttnGAN_normal_002.jpg
AGIQA-3K-full,AttnGAN_normal_003,AGIQA-e9a8981cd29f,AttnGAN,train,AttnGAN_normal_003.jpg
AGIQA-3K-full,AttnGAN_normal_004,AGIQA-483967d836ca,AttnGAN,val,AttnGAN_normal_004.jpg
AGIQA-3K-full,AttnGAN_normal_005,AGIQA-e217ce39c73f,AttnGAN,train,AttnGAN_normal_005.jpg
AGIQA-3K-full,AttnGAN_normal_006,AGIQA-eaf6e4c20ea4,AttnGAN,test,AttnGAN_normal_006.jpg
AGIQA-3K-full,AttnGAN_normal_007,AGIQA-d7a1414ab859,AttnGAN,train,AttnGAN_normal_007.jpg
AGIQA-3K-full,AttnGAN_normal_008,AGIQA-15be354bb96e,AttnGAN,train,AttnGAN_normal_008.jpg
AGIQA-3K-full,AttnGAN_normal_009,AGIQA-9821efa7c5f4,AttnGAN,test,AttnGAN_normal_009.jpg
AGIQA-3K-full,AttnGAN_normal_010,AGIQA-1140c78e0ae6,AttnGAN,test,AttnGAN_normal_010.jpg
AGIQA-3K-full,AttnGAN_normal_011,AGIQA-5ef6165535cc,AttnGAN,test,AttnGAN_normal_011.jpg
AGIQA-3K-full,AttnGAN_normal_012,AGIQA-e334be82922d,AttnGAN,train,AttnGAN_normal_012.jpg
AGIQA-3K-full,AttnGAN_normal_013,AGIQA-a1025dda6741,AttnGAN,test,AttnGAN_normal_013.jpg
AGIQA-3K-full,AttnGAN_normal_014,AGIQA-5157585510fa,AttnGAN,test,AttnGAN_normal_014.jpg
AGIQA-3K-full,AttnGAN_normal_015,AGIQA-a140832780f0,AttnGAN,val,AttnGAN_normal_015.jpg
AGIQA-3K-full,AttnGAN_normal_016,AGIQA-29db9d3c3030,AttnGAN,test,AttnGAN_normal_016.jpg
AGIQA-3K-full,AttnGAN_normal_017,AGIQA-735ffd33c35d,AttnGAN,train,AttnGAN_normal_017.jpg
AGIQA-3K-full,AttnGAN_normal_018,AGIQA-3fbe71b5e645,AttnGAN,test,AttnGAN_normal_018.jpg
AGIQA-3K-full,AttnGAN_normal_019,AGIQA-24062dcfadad,AttnGAN,train,AttnGAN_normal_019.jpg
AGIQA-3K-full,AttnGAN_normal_020,AGIQA-9eeb9b8e3f8e,AttnGAN,test,AttnGAN_normal_020.jpg
AGIQA-3K-full,AttnGAN_normal_021,AGIQA-1371abf2f93d,AttnGAN,test,AttnGAN_normal_021.jpg
AGIQA-3K-full,AttnGAN_normal_022,AGIQA-6c6164597781,AttnGAN,test,AttnGAN_normal_022.jpg
AGIQA-3K-full,AttnGAN_normal_023,AGIQA-0af5d168f24a,AttnGAN,train,AttnGAN_normal_023.jpg
AGIQA-3K-full,AttnGAN_normal_024,AGIQA-889cbd060604,AttnGAN,train,AttnGAN_normal_024.jpg
AGIQA-3K-full,AttnGAN_normal_025,AGIQA-30e86978cc84,AttnGAN,test,AttnGAN_normal_025.jpg
AGIQA-3K-full,AttnGAN_normal_026,AGIQA-345eec9dd421,AttnGAN,test,AttnGAN_normal_026.jpg
AGIQA-3K-full,AttnGAN_normal_027,AGIQA-37dfb2ab2ae5,AttnGAN,test,AttnGAN_normal_027.jpg
AGIQA-3K-full,AttnGAN_normal_028,AGIQA-1bff9303dbad,AttnGAN,train,AttnGAN_normal_028.jpg
AGIQA-3K-full,AttnGAN_normal_029,AGIQA-a6ab88e8fd89,AttnGAN,train,AttnGAN_normal_029.jpg
AGIQA-3K-full,AttnGAN_normal_030,AGIQA-d2336a69fe20,AttnGAN,train,AttnGAN_normal_030.jpg
AGIQA-3K-full,AttnGAN_normal_031,AGIQA-8a1982e9c4e2,AttnGAN,val,AttnGAN_normal_031.jpg
AGIQA-3K-full,AttnGAN_normal_032,AGIQA-c8866246ba2d,AttnGAN,test,AttnGAN_normal_032.jpg
AGIQA-3K-full,AttnGAN_normal_033,AGIQA-f587e366ca8f,AttnGAN,train,AttnGAN_normal_033.jpg
AGIQA-3K-full,AttnGAN_normal_034,AGIQA-d91a18f3f62c,AttnGAN,train,AttnGAN_normal_034.jpg
AGIQA-3K-full,AttnGAN_normal_035,AGIQA-a408155fcc7c,AttnGAN,train,AttnGAN_normal_035.jpg
AGIQA-3K-full,AttnGAN_normal_036,AGIQA-a8e2e7bf98bc,AttnGAN,train,AttnGAN_normal_036.jpg
AGIQA-3K-full,AttnGAN_normal_037,AGIQA-2ff96029d612,AttnGAN,train,AttnGAN_normal_037.jpg
AGIQA-3K-full,AttnGAN_normal_038,AGIQA-699c069d0958,AttnGAN,train,AttnGAN_normal_038.jpg
AGIQA-3K-full,AttnGAN_normal_039,AGIQA-bb9a47ae293e,AttnGAN,train,AttnGAN_normal_039.jpg
AGIQA-3K-full,AttnGAN_normal_040,AGIQA-1bdd03baf926,AttnGAN,train,AttnGAN_normal_040.jpg
AGIQA-3K-full,AttnGAN_normal_041,AGIQA-b5139fecf4ac,AttnGAN,test,AttnGAN_normal_041.jpg
AGIQA-3K-full,AttnGAN_normal_042,AGIQA-b93c19ff75f8,AttnGAN,train,AttnGAN_normal_042.jpg
AGIQA-3K-full,AttnGAN_normal_043,AGIQA-aeb19603c48e,AttnGAN,train,AttnGAN_normal_043.jpg
AGIQA-3K-full,AttnGAN_normal_044,AGIQA-02bef5c360e8,AttnGAN,train,AttnGAN_normal_044.jpg
AGIQA-3K-full,AttnGAN_normal_045,AGIQA-352213e9322c,AttnGAN,train,AttnGAN_normal_045.jpg
AGIQA-3K-full,AttnGAN_normal_046,AGIQA-3d5b4a0897ba,AttnGAN,train,AttnGAN_normal_046.jpg
AGIQA-3K-full,AttnGAN_normal_047,AGIQA-02d4f0376aa1,AttnGAN,test,AttnGAN_normal_047.jpg
AGIQA-3K-full,AttnGAN_normal_048,AGIQA-cba821e04d7f,AttnGAN,val,AttnGAN_normal_048.jpg
AGIQA-3K-full,AttnGAN_normal_049,AGIQA-2156f8055773,AttnGAN,train,AttnGAN_normal_049.jpg
AGIQA-3K-full,AttnGAN_normal_050,AGIQA-15a87eed536a,AttnGAN,train,AttnGAN_normal_050.jpg
AGIQA-3K-full,AttnGAN_normal_051,AGIQA-bc7e65d64dc1,AttnGAN,train,AttnGAN_normal_051.jpg
AGIQA-3K-full,AttnGAN_normal_052,AGIQA-b2ca21ea25ce,AttnGAN,train,AttnGAN_normal_052.jpg
AGIQA-3K-full,AttnGAN_normal_053,AGIQA-305317b84702,AttnGAN,test,AttnGAN_normal_053.jpg
AGIQA-3K-full,AttnGAN_normal_054,AGIQA-94c6cce5b494,AttnGAN,test,AttnGAN_normal_054.jpg
AGIQA-3K-full,AttnGAN_normal_055,AGIQA-270ab27b4cc3,AttnGAN,test,AttnGAN_normal_055.jpg
AGIQA-3K-full,AttnGAN_normal_056,AGIQA-ee79cf3a1533,AttnGAN,train,AttnGAN_normal_056.jpg
AGIQA-3K-full,AttnGAN_normal_057,AGIQA-3e01a171ef14,AttnGAN,train,AttnGAN_normal_057.jpg
AGIQA-3K-full,AttnGAN_normal_058,AGIQA-7a4d12587948,AttnGAN,train,AttnGAN_normal_058.jpg
AGIQA-3K-full,AttnGAN_normal_059,AGIQA-93fc7fc78148,AttnGAN,test,AttnGAN_normal_059.jpg
AGIQA-3K-full,AttnGAN_normal_060,AGIQA-b3af04d6b4f7,AttnGAN,train,AttnGAN_normal_060.jpg
AGIQA-3K-full,AttnGAN_normal_061,AGIQA-3afb49bd87b2,AttnGAN,test,AttnGAN_normal_061.jpg
AGIQA-3K-full,AttnGAN_normal_062,AGIQA-4bd827546f3c,AttnGAN,train,AttnGAN_normal_062.jpg
AGIQA-3K-full,AttnGAN_normal_063,AGIQA-4bfc1ce9717d,AttnGAN,test,AttnGAN_normal_063.jpg
AGIQA-3K-full,AttnGAN_normal_064,AGIQA-0a62a7327a97,AttnGAN,train,AttnGAN_normal_064.jpg
AGIQA-3K-full,AttnGAN_normal_065,AGIQA-1884d73ea603,AttnGAN,train,AttnGAN_normal_065.jpg
AGIQA-3K-full,AttnGAN_normal_066,AGIQA-4d874861883d,AttnGAN,train,AttnGAN_normal_066.jpg
AGIQA-3K-full,AttnGAN_normal_067,AGIQA-36c7ff486bf4,AttnGAN,train,AttnGAN_normal_067.jpg
AGIQA-3K-full,AttnGAN_normal_068,AGIQA-219765781124,AttnGAN,train,AttnGAN_normal_068.jpg
AGIQA-3K-full,AttnGAN_normal_069,AGIQA-f2c705d91de0,AttnGAN,train,AttnGAN_normal_069.jpg
AGIQA-3K-full,AttnGAN_normal_070,AGIQA-7a34b7800c8c,AttnGAN,train,AttnGAN_normal_070.jpg
AGIQA-3K-full,AttnGAN_normal_071,AGIQA-26e9b65319ac,AttnGAN,train,AttnGAN_normal_071.jpg
AGIQA-3K-full,AttnGAN_normal_072,AGIQA-83501ba9c92d,AttnGAN,train,AttnGAN_normal_072.jpg
AGIQA-3K-full,AttnGAN_normal_073,AGIQA-39896a46302d,AttnGAN,train,AttnGAN_normal_073.jpg
