dataset,sample_id,prompt_id,client_id,split,official_filename
AIGCIQA2023,aigciqa2023_Controlnet_249,AIGCIQA-062,Controlnet,train,062-2.png
AIGCIQA2023,aigciqa2023_Controlnet_94,AIGCIQA-023,Controlnet,train,023-3.png
AIGCIQA2023,aigciqa2023_Controlnet_158,AIGCIQA-039,Controlnet,train,039-3.png
AIGCIQA2023,aigciqa2023_Controlnet_164,AIGCIQA-041,Controlnet,train,041-1.png
AIGCIQA2023,aigciqa2023_Controlnet_246,AIGCIQA-061,Controlnet,train,061-3.png
AIGCIQA2023,aigciqa2023_Controlnet_228,AIGCIQA-057,Controlnet,val,057-1.png
AIGCIQA2023,aigciqa2023_Controlnet_190,AIGCIQA-047,Controlnet,train,047-3.png
AIGCIQA2023,aigciqa2023_Controlnet_122,AIGCIQA-030,Controlnet,train,030-3.png
AIGCIQA2023,aigciqa2023_Controlnet_257,AIGCIQA-064,Controlnet,val,064-2.png
AIGCIQA2023,aigciqa2023_Controlnet_292,AIGCIQA-073,Controlnet,train,073-1.png
AIGCIQA2023,aigciqa2023_Controlnet_192,AIGCIQA-048,Controlnet,train,048-1.png
AIGCIQA2023,aigciqa2023_Controlnet_305,AIGCIQA-076,Controlnet,train,076-2.png
AIGCIQA2023,aigciqa2023_Controlnet_38,AIGCIQA-009,Controlnet,train,009-3.png
AIGCIQA2023,aigciqa2023_Controlnet_338,AIGCIQA-084,Controlnet,val,084-3.png
AIGCIQA2023,aigciqa2023_Controlnet_347,AIGCIQA-086,Controlnet,test,086-4.png
AIGCIQA2023,aigciqa2023_Controlnet_364,AIGCIQA-091,Controlnet,train,091-1.png
AIGCIQA2023,aigciqa2023_Controlnet_43,AIGCIQA-010,Controlnet,train,010-4.png
AIGCIQA2023,aigciqa2023_Controlnet_217,AIGCIQA-054,Controlnet,test,054-2.png
AIGCIQA2023,aigciqa2023_Controlnet_99,AIGCIQA-024,Controlnet,train,024-4.png
AIGCIQA2023,aigciqa2023_Controlnet_53,AIGCIQA-013,Controlnet,test,013-2.png
AIGCIQA2023,aigciqa2023_Controlnet_271,AIGCIQA-067,Controlnet,train,067-4.png
AIGCIQA2023,aigciqa2023_Controlnet_169,AIGCIQA-042,Controlnet,train,042-2.png
AIGCIQA2023,aigciqa2023_Controlnet_251,AIGCIQA-062,Controlnet,train,062-4.png
AIGCIQA2023,aigciqa2023_Controlnet_77,AIGCIQA-019,Controlnet,train,019-2.png
AIGCIQA2023,aigciqa2023_Controlnet_9,AIGCIQA-002,Controlnet,train,002-2.png
AIGCIQA2023,aigciqa2023_Controlnet_68,AIGCIQA-017,Controlnet,test,017-1.png
AIGCIQA2023,aigciqa2023_Controlnet_198,AIGCIQA-049,Controlnet,train,049-3.png
AIGCIQA2023,aigciqa2023_Controlnet_2,AIGCIQA-000,Controlnet,val,000-3.png
AIGCIQA2023,aigciqa2023_Controlnet_367,AIGCIQA-091,Controlnet,train,091-4.png
AIGCIQA2023,aigciqa2023_Controlnet_372,AIGCIQA-093,Controlnet,val,093-1.png
AIGCIQA2023,aigciqa2023_Controlnet_259,AIGCIQA-064,Controlnet,val,064-4.png
AIGCIQA2023,aigciqa2023_Controlnet_253,AIGCIQA-063,Controlnet,train,063-2.png
AIGCIQA2023,aigciqa2023_Controlnet_244,AIGCIQA-061,Controlnet,train,061-1.png
AIGCIQA2023,aigciqa2023_Controlnet_209,AIGCIQA-052,Controlnet,train,052-2.png
AIGCIQA2023,aigciqa2023_Controlnet_55,AIGCIQA-013,Controlnet,test,013-4.png
AIGCIQA2023,aigciqa2023_Controlnet_34,AIGCIQA-008,Controlnet,train,008-3.png
AIGCIQA2023,aigciqa2023_Controlnet_354,AIGCIQA-088,Controlnet,val,088-3.png
AIGCIQA2023,aigciqa2023_Controlnet_280,AIGCIQA-070,Controlnet,train,070-1.png
AIGCIQA2023,aigciqa2023_Controlnet_59,AIGCIQA-014,Controlnet,test,014-4.png
AIGCIQA2023,aigciqa2023_Controlnet_243,AIGCIQA-060,Controlnet,train,060-4.png
AIGCIQA2023,aigciqa2023_Controlnet_386,AIGCIQA-096,Controlnet,train,096-3.png
AIGCIQA2023,aigciqa2023_Controlnet_289,AIGCIQA-072,Controlnet,train,072-2.png
AIGCIQA2023,aigciqa2023_Controlnet_230,AIGCIQA-057,Controlnet,val,057-3.png
AIGCIQA2023,aigciqa2023_Controlnet_380,AIGCIQA-095,Controlnet,val,095-1.png
AIGCIQA2023,aigciqa2023_Controlnet_29,AIGCIQA-007,Controlnet,train,007-2.png
AIGCIQA2023,aigciqa2023_Controlnet_331,AIGCIQA-082,Controlnet,train,082-4.png
AIGCIQA2023,aigciqa2023_Controlnet_240,AIGCIQA-060,Controlnet,train,060-1.png
AIGCIQA2023,aigciqa2023_Controlnet_97,AIGCIQA-024,Controlnet,train,024-2.png
AIGCIQA2023,aigciqa2023_Controlnet_322,AIGCIQA-080,Controlnet,train,080-3.png
AIGCIQA2023,aigciqa2023_Controlnet_143,AIGCIQA-035,Controlnet,test,035-4.png
AIGCIQA2023,aigciqa2023_Controlnet_175,AIGCIQA-043,Controlnet,train,043-4.png
